HEX,L*,a*,b*
#B36559,51.39876233114333,30.054829379834448,20.541464447445044
#8D1011,29.602466980278443,49.09425127530726,35.26697099525769
#6A110C,21.917618628348862,37.95923056562989,27.850662399478804
#BF3120,43.33151374682352,55.1482016483984,43.64546075429345
#D35E2A,54.05411770202363,43.27758555503453,50.162108535818895
#B05316,46.28106072632771,34.510864169362776,49.54720175485641
#E2B437,75.50763131773877,4.784413750720196,65.93832961784982
#B37D27,56.48581764777914,13.346840839205232,52.20999258849241
#998234,55.05870141223389,-0.5051264375213194,44.1909702747703
#635F39,39.80320508451232,-4.673932655884033,22.311641410989846
#8B8D77,57.914234794034,-4.769622724390576,11.513234912351699
#919A3F,61.21200428455053,-16.209844231817485,45.60992943822699
#434E23,31.262242202160643,-12.185519549725715,23.79306945525437
#194220,24.34491568361411,-23.059801080024865,16.43509263118559
#172219,11.933446974610487,-7.277985819777691,4.523612669311349
#254F45,30.435218759343385,-17.51068210394052,1.406860266212906
#0C2320,11.853585160243082,-10.015949218645417,-0.7581978078241347
#055B93,37.15106230377361,-0.6328283931298362,-37.00232349253667
#064262,26.205171861720267,-4.773126271547495,-23.806370192150794
#033164,20.578871014660095,7.643815818036304,-34.077214230679566
#E0D9C1,86.66429918963001,-1.6021299288556667,12.68896908962116
#C2B7A1,74.7683472643696,0.21886114265595724,12.600055028942236
#7C6A46,45.68348600255501,1.7296508802097654,22.83806248250665
#4D3C1F,26.47314170861278,3.318556890960278,20.599987824849297
#401E13,15.829063056775787,15.298819347610348,14.809324192543805
#24130C,7.835560215656955,7.793378578135335,6.914560188374313
#261C13,11.203010259192865,3.2979337141911396,7.9488858598808605
#3C3E30,25.621536091795328,-3.770193322541915,8.351288780443323
